Код,Название специальности
6B01101,Психология (IP)
6B01110,Педагогика и психология
6B01210,Педагогика дошкольного воспитания и обучения
6B01301,Начальное образование (IP)
6B01310,Педагогика и методика начального обучения
6B01401,Физическая культура и спорт (IP)
6B01402,Трудовое обучение и основы предпринимательства (IP)
6B01410,Начальная военная подготовка
6B01420,Музыкальное образование
6B01431,Изобразительное искусство, графика и проектирование
6B01440,Физическая культура и спорт
6B01450,Профессиональное обучение
6B01451,Технология труда и черчение
6B01502,Информатика (IP)
6B01503,Химия (IP)
6B01504,Физика (IP)
6B01505,Биология (IP)
6B01506,Математика (IP)
6B01510,Математика
6B01520,Физика
6B01521,Математика-Физика
6B01522,Физика-Информатика
6B01530,Информатика
6B01531,Математика-Информатика
6B01532,Информатика и робототехника
6B01540,Химия
6B01541,Химия-Биология
6B01550,Биология
6B01560,География
6B01561,География - История
6B01601,История и обществознание (IP)
6B01610,История
6B01701,Казахский язык и литература (IP)
6B01702,Русский язык и литература в школах с русским и нерусским языками обучения (IP)
6B01710,Казахский язык и литература
6B01711,Узбекский язык и литература
6B01720,Русский язык и литература
6B01730,Иностранный язык: два иностранных языка
6B01911,Специальная педагогика
6B02120,Режиссура
6B02130,Хореография
6B02140,Живопись
6B02150,Графика
6B02161,Декоративно-прикладное искусство
6B02170,Дизайн моды
6B02171,Дизайн среды
6B02210,Философия
6B02211,Религия и философия
6B02220,История
6B02230,Археология и этнология
6B02310,Филология: казахский язык
6B02311,Филология: русский язык
6B02320,Переводческое дело
6B02330,Иностранная филология
6B02331,Иностранная филология: узбекский язык
6B03110,Международные отношения
6B03120,Политология
6B03130,Психология
6B03131,Подготовка психологов-консультантов в социальной сфере
6B03210,Библиотечное дело
6B03220,Журналистика
6B04120,Менеджмент
6B07088(1),Экспертиза и технический надзор в строительстве
6B04130,Учет и аудит
6B04140,Финансы
6B04150,Государственное и местное управление
6B04160,Маркетинг
6B04161,IT-маркетинг
6B04210,Юриспруденция
6B04214,Право и правоохранительная деятельность
6B04220,Международное право
6B05088(5),Компьютерная физика и робототехника
6B05110,Биология
6B05120,Биотехнология
6B05210,Экология
6B05220,География
6B05310,Физика
6B05320,Химия
6B05330,Экспертиза веществ и материалов в химической инженерии
6B05340,Химическая, криминалистическая и экологическая экспертиза
6B05410,Математика
6B06110,Информатика
6B06111,Компьютерные науки и программная инженерия
6B06120,Информационные системы
6B06121,Технологии искусственного интеллекта
6B06130,Вычислительная техника и программное обеспечение
6B06140,Математическое и компьютерное моделирование
6B06141,Моделирование и конструирование виртуальной реальности
6B06150,Информационно-коммуникационные технологии и безопасность
6B06210,Радиотехника, электроника и телекоммуникации
6B07088(6),Управление технологическими процессами в химической инженерии
6B07088(7),Цифровизация индустрии стекла, керамики и вяжущих материалов
6B07101,Материаловедение и экспертиза керамики, стекла и вяжущих
6B07110,Автоматизация и управление
6B07120,Машиностроение
6B07124,Электротехническое машиностроение и инжиниринг энергетических систем
6B07125,Нефтегазовое машиностроение
6B07130,Транспорт, транспортная техника и технологии
6B07131,Автосервис и фирменное обслуживание
6B07140,Теплоэнергетика
6B07150,Электроэнергетика
6B07151,Электроснабжение
6B07152,Инженерия электроэнергетических систем
6B07160,Химическая технология неорганических веществ
6B07170,Химическая технология органических веществ
6B07172,Технология переработки нефти и газа
6B07180,Технологические машины и оборудование (по отраслям)
6B07181,Машины и оборудование нефтяной и газовой промышленности
6B07182,Машины и аппараты пищевых производств
6B07190,Химическая технология тугоплавких неметаллических и силикатных материалов
6B07210,Нефтегазовое дело
6B07211,Нефтегазовое дело
6B07215,Эксплуатация и обслуживание объектов добычи,переработки нефти и газа
6B07216,Эксплуатация газонефтепроводов и газонефтехранилищ
6B07218,Производство и реализация газонефтепродуктов
6B07220,Металлургия
6B07088(2),Цифровые технологии в производстве металлов и композиционных материалов
6B07230,Технология и конструирование изделий легкой промышленности
6B07231,Индустрия моды и товародвижение изделий легкой промышленности
6B07242,Технология молока и молочных продуктов
6B07244,Пищевые технологии и организация питания на предприятиях малого и среднего бизнеса
6B07245,Технология мяса и мясных продуктов
6B07250,Технология перерабатывающих производств
6B07252,Технология сахаристых веществ и сахарных кондитерских изделий
6B07253,Пищевая безопасность и инженерия
6B07260,Технология и проектирование текстильных материалов
6B07261,Инновационный текстиль, дизайн и декор
6B07270,Технология фармацевтического производства
6B07271,Технология фармацевтических и парфюмерно-косметических средств
6B07280,Технология производства и переработки полимеров
6B07310,Архитектура
6B07311,Градостроительство
6B07320,Строительство
6B07321,Технология промышленного и гражданского строительства
6B07322,Строительство автомобильных дорог и аэродромов
6B07330,Водоснабжение, водоотведение и охрана водных ресурсов
6B07340,Производство строительных материалов, изделий и конструкций
6B07350,Землеустройство
6B07360,Кадастр
6B07510,Стандартизация и сертификация (по отраслям)
6B07513,Метрология
6B08110,Агрономия
6B08111,Декоративное озеленение и ландшафтный дизайн
6B08120,Почвоведение и агрохимия
6B08130,Защита и карантин растений
6B08140,Плодоовощеводство
6B08210,Технология производства продуктов животноводства
6B08610,Водные ресурсы и водопользование
6B08710,Аграрная техника и технология
6B09111,Ветеринарная медицина
6B11088(3),Менеджмент безопасности и устойчивое развитие
6B11110,Туризм
6B11111,Ресторанное дело и гостиничный бизнес
6B11120,Культурно-досуговая работа
6B11121,Технология театральных постановок и продюсирование
6B11124,Культурно-досуговая деятельность и эстрадное пение
6B11130,Менеджмент вокально-хоровой деятельности
6B11141,Спортивный менеджмент, плавание и инструкторское дело
6B11150,Спортивный менеджмент, досуг и тренерская деятельность
6B11210,Безопасность жизнедеятельности и защита окружающей среды
6B11310,Организация перевозок, движения и эксплуатация транспорта
6B11312,Транспортная логистика
6B11410,Социальная работа
6В04110,Экономика
6В07088(9),IT и текстильная инженерия
