Код,Название специальности
7M01110,Педагогика и психология
7M01113,Менеджмент в образовании
7M01114,Психолого-педагогическое образование
7M01210,Дошкольное обучение и воспитание
7M01310,Педагогика и методика начального обучения
7M01313,Педагогика и методика начального обучения
7M01411,Физическая культура и начальная военная подготовка
7M01430,Изобразительное искусство и черчение
7M01450,Профессиональное обучение
7M01454,Художественный труд и основы предпринимательства
7M01510,Математика
7M01520,Физика
7M01522,Физика и информатика с основами STEM обучения
7M01530,Информатика
7M01534,Математика-Информатика
7M01535,STEM образование
7M01541,Химия
7M01550,Биология и естествознание
7M01560,География
7M01563,География-История
7M02130,Хореография
7M02170,Дизайн
7M02172,Искусствоведение
7M02220,История
7M02088,Медиалингвистика и редакторское дело
7M02309,Русская филология
7M02310,Филология
7M02311,Филология: русский язык
7M02330,Цифровая лингвистика и межкультурная коммуникация
7M03110,Международные отношения
7M03120,Политология
7M03130,Психология
7M03220,Журналистика
7M04108,Менеджмент. Международное управление (СУ СНГ)
7M04110,Экономика
7M04112,Экономика
7M04113,Аграрная экономика
7M04120,Менеджмент
7M04132,Учет и аудит
7M04140,Финансы
7M04142,Финансы
7M04160,Маркетинг
7M04171,Деловое администрирование
7M04173,Деловое администрирование
7M04209,Юриспруденция (по отраслям)
7M04210,Юриспруденция
7M04212,Юриспруденция
7M04219,Антикоррупционная деятельность и комплаенс-служба
7M05110,Биология
7M05123,Биотехнология
7M05126,Ветеринарная биотехнология
7M05210,Экология
7M05209,Экологическая экспертиза и устойчивое развитие (СУ СНГ)
7M05220,География
7M05310,Физика
7M05320,Химия
7M05410,Математика
7M06110,Информатика
7M06120,Информационные системы
7M06130,Вычислительная техника и программное обеспечение
7M06140,Математическое и компьютерное моделирование
7M07109,Интегрированные интеллектуальные энергетические системы
7M07110,Автоматизация и управление
7M07120,Машиностроение
7M07123,3D-моделирование в машиностроении
7M07130,Транспорт, транспортная техника и технологии
7M07133,Логистика транспортных систем
7M07150,Электроэнергетика
7M07152,Электроэнергетика
7M07153,Цифровые технологии электроэнергетики
7M07155,Цифровые системы энергетики: генерация, распределение и потребление электроэнергии
7M07162,Химическая технология неорганических веществ
7M07163,Технология минеральных солей и агрохимия
7M07170,Химическая технология органических веществ
7M07176,Технология переработки нефти и газа
7M07180,Технологические машины и оборудование (по отраслям)
7M07183,Технологические машины и оборудование предприятий нефтегазового комплекса
7M07190,Химическая технология тугоплавких неметаллических и силикатных материалов
7M07192,Химическая технология тугоплавких неметаллических и силикатных материалов
7M07209,Пищевая биотехнология
7M07210,Нефтегазовое дело
7M07222,Металлургия
7M07230,Технология и конструирование изделий легкой промышленности
7M07240,Технология молока и молочных продуктов
7M07243,Технология продовольственных продуктов
7M07250,Технология перерабатывающих производств
7M07253,Безопасные технологии переработки сельскохозяйственной продукции
7M07260,Технология и проектирование текстильных материалов
7M07270,Технология фармацевтических производств
7M07310,Архитектура
7M07320,Строительство
7M07330,Водоснабжение городов и промышленности
7M07340,Производство строительных материалов, изделий и конструкций
7M07350,Геопространственная цифровая инженерия
7M07351,Технология землеустроительных и кадастровых работ
7M07510,Стандартизация и сертификация (по отраслям)
7M07513,Метрология
7M11109,Управление туристскими дестинациями
7M11110,Туризм
7M11120,Культурно-досуговая работа
7M11140,Менеджмент спорта и тренерская деятельность
7M11210,Безопасность жизнедеятельности и защита окружающей среды
7M11410,Социальная работа
7M02208,Всемирная История
7M02211,Философия
7M04107,Цифровая экономика (СУ СНГ)
